"id","soiltype","taxgrsc","x","y","uhdicm_a","lhdicm_a","sndmht_a","sltmht_a","clymht_a","uhdicm_b","lhdicm_b","sndmht_b","sltmht_b","clymht_b","uhdicm_c","lhdicm_c","sndmht_c","sltmht_c","clymht_c","uhdicm_d","lhdicm_d","sndmht_d","sltmht_d","clymht_d","uhdicm_e","lhdicm_e","sndmht_e","sltmht_e","clymht_e"
"id3302",NA,NA,569221.802841505,5714368.48900342,0,10,20,40,40,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0093",NA,NA,569226.794920872,5713799.71790382,0,10,20,40,40,10,30,20,40,40,30,50,18.8,37.6,37.6,50,70,18.8,37.6,37.6,70,90,18.8,37.6,37.6
"id2827",NA,NA,569226.798858021,5714176.56620727,0,10,18.8,37.6,37.6,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id1858",NA,NA,569233.793436878,5713922.66833904,0,10,20,40,40,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"idx002",NA,NA,569234.796433484,5714247.53755285,0,10,16.6,33.2,33.2,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"idx003",NA,NA,569238.796290209,5714385.48197967,0,10,12.5,25,25,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id2828",NA,NA,569241.796062237,5714477.44492651,0,10,20,40,40,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0094",NA,NA,569242.786506166,5713599.798217,0,10,20,40,40,10,30,20,40,40,30,50,18.8,37.6,37.6,50,70,18.8,37.6,37.6,70,90,18.8,37.6,37.6
"id1859",NA,NA,569246.773385959,5712495.24280361,0,10,20,40,40,10,30,18.8,37.6,37.6,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0095",NA,NA,569247.793228328,5714433.4625672,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"idx004",NA,NA,569250.776778528,5712971.05123688,0,10,12.5,25,25,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id3303",NA,NA,569251.762822045,5711673.57350029,0,10,20,40,40,10,30,16.6,33.2,33.2,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"idx005",NA,NA,569252.760754908,5711513.63786855,0,10,12.5,25,25,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0096",NA,NA,569254.758419184,5711365.6974003,0,10,20,40,40,10,30,18.8,37.6,37.6,30,50,18.8,37.6,37.6,50,70,18.8,37.6,37.6,70,90,NA,NA,NA
"id2829",NA,NA,569257.772917955,5712866.0934206,0,10,18.8,37.6,37.6,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"idx006",NA,NA,569259.767628867,5712435.26682797,0,10,16.6,33.2,33.2,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id2830",NA,NA,569265.758264873,5711765.53636528,0,10,20,40,40,10,30,6.11,71.91,22.09,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0097",NA,NA,569265.771386263,5713022.03057199,0,10,18.8,37.6,37.6,10,30,12.5,25,25,30,50,16.6,33.2,33.2,50,70,16.6,33.2,33.2,70,90,NA,NA,NA
"id3304",NA,NA,569266.74834983,5710854.90290752,0,10,20,40,40,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"idx007",NA,NA,569266.767287682,5712667.17341126,0,10,12.5,25,25,10,30,20,40,40,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"idx008",NA,NA,569267.742329233,5710317.11936278,0,10,12.5,25,25,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"idx009",NA,NA,569267.749723023,5711023.83490199,0,10,12.5,25,25,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0098",NA,NA,569268.777446831,5713716.75087304,0,10,20,40,40,10,30,20,40,40,30,50,18.8,37.6,37.6,50,70,18.8,37.6,37.6,70,90,18.8,37.6,37.6
"id3305",NA,NA,569269.743864602,5710539.03002763,0,10,20,40,40,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0100",NA,NA,569269.760572238,5712137.38664757,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id0099",NA,NA,569269.775529914,5713570.80961465,0,10,18.8,37.6,37.6,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"idx010",NA,NA,569273.781968332,5714340.49971159,0,10,16.6,33.2,33.2,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"idx011",NA,NA,569276.782144425,5714471.44696092,0,10,11.875,43.125,9.0625,10,30,19,69,14.5,30,50,19,69,14.5,50,70,19,69,14.5,70,90,19,69,14.5
"id2832",NA,NA,569277.744583795,5710908.88109592,0,10,20,40,40,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id2831",NA,NA,569277.74650622,5711092.80706085,0,10,20,40,40,10,30,16.6,33.2,33.2,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"idx012",NA,NA,569277.747582183,5711195.76561702,0,10,16.6,33.2,33.2,10,30,20,40,40,30,50,20,40,40,50,70,18.8,37.6,37.6,70,90,NA,NA,NA
"id2834",NA,NA,569278.733338196,5709871.29873096,0,10,18.8,37.6,37.6,10,30,18.8,37.6,37.6,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
